operational_profile,profile_display,policy,policy_display,TIC_mean,NS_mean,n_series,viable_ns70,is_dominant
High_Vol_Seasonal,High Vol. Seasonal,DQN,DQN,102.50280386110649,0.2248279370912165,11,False,False
High_Vol_Seasonal,High Vol. Seasonal,EOQ,EOQ,618.7923212512992,0.9696333782289264,11,True,True
High_Vol_Seasonal,High Vol. Seasonal,GA-DQN,GA-DQN,1104.1595333701716,0.7674481746831696,11,True,False
High_Vol_Seasonal,High Vol. Seasonal,GA-PPO,GA-PPO,2229.973238883969,0.9814113358871912,11,True,False
High_Vol_Seasonal,High Vol. Seasonal,Newsvendor,Jornaleiro,280.5496734291221,0.5714179499518998,11,False,False
High_Vol_Seasonal,High Vol. Seasonal,PPO,PPO,2696.669416074899,0.9814113358871912,11,True,False
High_Vol_Seasonal,High Vol. Seasonal,SA,SA,676.4400227171058,0.9535198908364612,11,True,False
High_Vol_Seasonal,High Vol. Seasonal,sS,"(s,S)",642.0918106171218,0.9696333782289264,11,True,False
Sparse_High_Impact,Sparse High Impact,DQN,DQN,112.7888162268314,0.2353983951781048,116,False,False
Sparse_High_Impact,Sparse High Impact,EOQ,EOQ,632.5078710895798,0.9389002746641674,116,True,False
Sparse_High_Impact,Sparse High Impact,GA-DQN,GA-DQN,1116.2853031748757,0.7859789582391721,116,True,False
Sparse_High_Impact,Sparse High Impact,GA-PPO,GA-PPO,2249.825080358089,0.961147878842464,116,True,False
Sparse_High_Impact,Sparse High Impact,Newsvendor,Jornaleiro,283.6688785646572,0.5514336846029897,116,False,False
Sparse_High_Impact,Sparse High Impact,PPO,PPO,4000.253650065048,0.9729004841689216,116,True,False
Sparse_High_Impact,Sparse High Impact,SA,SA,584.0146370983724,0.8646126707185322,116,True,True
Sparse_High_Impact,Sparse High Impact,sS,"(s,S)",658.6239296328899,0.9399299765922136,116,True,False
Unstable_Trend,Unstable Trend,DQN,DQN,179.04155945856743,0.2242836501808001,18,False,False
Unstable_Trend,Unstable Trend,EOQ,EOQ,607.9478781182012,0.9466296134184412,18,True,True
Unstable_Trend,Unstable Trend,GA-DQN,GA-DQN,983.7482940307592,0.7263204708721744,18,True,False
Unstable_Trend,Unstable Trend,GA-PPO,GA-PPO,2190.388821178048,0.9759631233834986,18,True,False
Unstable_Trend,Unstable Trend,Newsvendor,Jornaleiro,335.96115804140345,0.4500007380174116,18,False,False
Unstable_Trend,Unstable Trend,PPO,PPO,3761.7551287863657,0.991461768213184,18,True,False
Unstable_Trend,Unstable Trend,SA,SA,940.3654946788348,0.7882746408122443,18,True,False
Unstable_Trend,Unstable Trend,sS,"(s,S)",638.418009294534,0.9482246579899594,18,True,False
